class,method,invokes,parameters,location,originClass,originMethod
com.google.common.base.Converter$1$1,next()Ljava/lang/Object;,true,"[""UNKNOWN""]",219:-1,com.google.common.base.Converter,convert(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.TreeMultiset,pollFirstEntry()Lcom/google/common/collect/Multiset$Entry;,true,[],57:-1,com.google.common.collect.AbstractSortedMultiset,pollFirstEntry()Lcom/google/common/collect/Multiset$Entry;
com.google.common.math.Quantiles,intsToDoubles([I)[D,false,,,,
com.google.common.hash.AbstractHasher,putBytes([BII)Lcom/google/common/hash/PrimitiveSink;,true,"[""UNKNOWN"",""NON_NULL"",""NON_NULL""]",28:-1,com.google.common.hash.AbstractHasher,putBytes([BII)Lcom/google/common/hash/Hasher;
com.google.common.collect.ConcurrentHashMultiset$FieldSettersHolder,<init>()V,false,,,,
com.google.common.base.Equivalence,wrap(Ljava/lang/Object;)Lcom/google/common/base/Equivalence$Wrapper;,true,"[""NON_NULL"",""UNKNOWN"",""NULL""]",162:-1,com.google.common.base.Equivalence$Wrapper,<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;Lcom/google/common/base/Equivalence$1;)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[""NON_NULL"",""NON_NULL"",""UNKNOWN"",""NON_NULL"",""NULL"",""NON_NULL"",""UNKNOWN""]",3172:-1,com.google.common.cache.LocalCache$Segment,removeValueFromChain(Lcom/google/common/cache/LocalCache$ReferenceEntry;Lcom/google/common/cache/LocalCache$ReferenceEntry;Ljava/lang/Object;ILjava/lang/Object;Lcom/google/common/cache/LocalCache$ValueReference;Lcom/google/common/cache/RemovalCause;)Lcom/google/common/cache/LocalCache$ReferenceEntry;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3160:-1,com.google.common.cache.LocalCache$ReferenceEntry,getKey()Ljava/lang/Object;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3199:-1,com.google.common.cache.LocalCache$Segment,postWriteCleanup()V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3199:-1,com.google.common.cache.LocalCache$Segment,postWriteCleanup()V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3159:-1,com.google.common.cache.LocalCache$ReferenceEntry,getNext()Lcom/google/common/cache/LocalCache$ReferenceEntry;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3161:-1,com.google.common.cache.LocalCache$ReferenceEntry,getHash()I
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3152:-1,com.google.common.base.Ticker,read()J
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[""UNKNOWN"",""UNKNOWN""]",3163:-1,com.google.common.base.Equivalence,equivalent(Ljava/lang/Object;Ljava/lang/Object;)Z
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3165:-1,com.google.common.cache.LocalCache$ValueReference,get()Ljava/lang/Object;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3199:-1,com.google.common.cache.LocalCache$Segment,postWriteCleanup()V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3164:-1,com.google.common.cache.LocalCache$ReferenceEntry,getValueReference()Lcom/google/common/cache/LocalCache$ValueReference;
