class,method,invokes,parameters,comment,location,originClass,originMethod
com.google.common.reflect.Types$WildcardTypeImpl,toString()Ljava/lang/String;,true,[],ok,509:-1,com.google.common.collect.ImmutableList,iterator()Lcom/google/common/collect/UnmodifiableIterator;
com.google.common.reflect.Types$WildcardTypeImpl,toString()Ljava/lang/String;,true,[UNKNOWN],ok,510:-1,com.google.common.reflect.Types$JavaVersion,typeName(Ljava/lang/reflect/Type;)Ljava/lang/String;
com.google.common.reflect.Types$WildcardTypeImpl,toString()Ljava/lang/String;,true,[UNKNOWN],ok,512:-1,com.google.common.reflect.Types,access$700(Ljava/lang/Iterable;)Ljava/lang/Iterable;
com.google.common.reflect.Types$WildcardTypeImpl,toString()Ljava/lang/String;,true,[UNKNOWN],ok,513:-1,com.google.common.reflect.Types$JavaVersion,typeName(Ljava/lang/reflect/Type;)Ljava/lang/String;
com.google.common.util.concurrent.AbstractExecutionThreadService,startAsync()Lcom/google/common/util/concurrent/Service;,true,[],ok,204:-1,com.google.common.util.concurrent.Service,startAsync()Lcom/google/common/util/concurrent/Service;
com.google.common.util.concurrent.AbstractFuture,isDone()Z,false,,ok,,,
com.google.common.util.concurrent.AbstractService,state()Lcom/google/common/util/concurrent/Service$State;,true,[],ok,452:-1,com.google.common.util.concurrent.AbstractService$StateSnapshot,externalState()Lcom/google/common/util/concurrent/Service$State;
com.google.common.util.concurrent.CycleDetectingLockFactory$PotentialDeadlockException,getConflictingStackTrace()Lcom/google/common/util/concurrent/CycleDetectingLockFactory$ExampleStackTrace;,false,,ok,,,
com.google.common.util.concurrent.ForwardingBlockingDeque,<init>()V,true,[],"ok inherited, super",51:-1,com.google.common.collect.ForwardingDeque,<init>()V
com.google.common.util.concurrent.ForwardingBlockingDeque,drainTo(Ljava/util/Collection;I)I,true,[],ok,128:-1,com.google.common.util.concurrent.ForwardingBlockingDeque,delegate()Ljava/util/concurrent/BlockingDeque;
com.google.common.util.concurrent.ForwardingCheckedFuture$SimpleForwardingCheckedFuture,delegate()Lcom/google/common/util/concurrent/ListenableFuture;,false,,ok,,,
com.google.common.util.concurrent.Monitor,access$000(Lcom/google/common/util/concurrent/Monitor;)Ljava/util/concurrent/locks/ReentrantLock;,false,,cannot identify,,,
com.google.common.util.concurrent.MoreExecutors$ScheduledListeningDecorator,<init>(Ljava/util/concurrent/ScheduledExecutorService;)V,true,[UNKNOWN],ok,596:-1,com.google.common.util.concurrent.MoreExecutors$ListeningDecorator,<init>(Ljava/util/concurrent/ExecutorService;)V
com.google.common.util.concurrent.RateLimiter,create(DJLjava/util/concurrent/TimeUnit;DLcom/google/common/util/concurrent/RateLimiter$SleepingStopwatch;)Lcom/google/common/util/concurrent/RateLimiter;,true,"[UNKNOWN,NON_NULL,UNKNOWN,NON_NULL]",ok,167:-1,com.google.common.util.concurrent.SmoothRateLimiter$SmoothWarmingUp,<init>(Lcom/google/common/util/concurrent/RateLimiter$SleepingStopwatch;JLjava/util/concurrent/TimeUnit;D)V
com.google.common.util.concurrent.RateLimiter,create(DJLjava/util/concurrent/TimeUnit;DLcom/google/common/util/concurrent/RateLimiter$SleepingStopwatch;)Lcom/google/common/util/concurrent/RateLimiter;,true,[NON_NULL],ok,168:-1,com.google.common.util.concurrent.RateLimiter,setRate(D)V
com.google.common.util.concurrent.SettableFuture,set(Ljava/lang/Object;)Z,true,[UNKNOWN],ok,48:-1,com.google.common.util.concurrent.AbstractFuture,set(Ljava/lang/Object;)Z
com.google.common.util.concurrent.TrustedListenableFutureTask$TrustedFutureInterruptibleTask,runInterruptibly()Ljava/lang/Object;,false,,ok,,,
