,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation,documentation.method.found,documentation.class.found,documentation.description,documentation.throws
83,com.google.common.base.CharMatcher,method,public,negate(),false,-1,true,UNKNOWN,1,False,False,True,True,False,False
84,com.google.common.base.CharMatcher,method,public,noneOf(Ljava/lang/CharSequence;),false,0,true,NON_NULL,2,False,False,True,True,False,False
85,com.google.common.base.CharMatcher,method,public,or(Lcom/google/common/base/CharMatcher;),false,0,true,NON_NULL,1,False,False,True,True,False,False
86,com.google.common.base.CharMatcher,method,public,or(Lcom/google/common/base/CharMatcher;),false,0,true,UNKNOWN,1,False,False,True,True,False,False
87,com.google.common.base.CharMatcher,method,public,removeFrom(Ljava/lang/CharSequence;),false,-1,false,UNKNOWN,6,False,False,True,True,False,False
88,com.google.common.base.CharMatcher,method,public,removeFrom(Ljava/lang/CharSequence;),false,0,false,UNKNOWN,6,False,False,True,True,False,False
89,com.google.common.base.CharMatcher,method,public,replaceFrom(Ljava/lang/CharSequence;C),false,0,false,UNKNOWN,1,False,False,True,True,False,False
90,com.google.common.base.CharMatcher,method,public,replaceFrom(Ljava/lang/CharSequence;C),false,0,true,UNKNOWN,1,False,False,True,True,False,False
91,com.google.common.base.CharMatcher,method,public,replaceFrom(Ljava/lang/CharSequence;C),false,1,false,NON_NULL,1,False,False,True,True,False,False
92,com.google.common.base.CharMatcher,method,public,replaceFrom(Ljava/lang/CharSequence;C),false,1,true,NON_NULL,1,False,False,True,True,False,False
93,com.google.common.base.CharMatcher,method,public,retainFrom(Ljava/lang/CharSequence;),false,0,true,NON_NULL,1,False,False,True,True,False,False
94,com.google.common.base.CharMatcher,method,public,trimFrom(Ljava/lang/CharSequence;),false,0,false,UNKNOWN,2,False,False,True,True,False,False
95,com.google.common.base.CharMatcher,method,public,trimLeadingFrom(Ljava/lang/CharSequence;),false,0,true,UNKNOWN,1,False,False,True,True,False,False
96,com.google.common.base.CharMatcher,method,public,trimTrailingFrom(Ljava/lang/CharSequence;),false,-1,false,UNKNOWN,2,False,False,True,True,False,False
97,com.google.common.base.CharMatcher,method,public,trimTrailingFrom(Ljava/lang/CharSequence;),false,0,false,NON_NULL,2,False,False,True,True,False,False
98,com.google.common.base.CharMatcher,method,public,trimTrailingFrom(Ljava/lang/CharSequence;),false,0,false,UNKNOWN,4,False,False,True,True,False,False
99,com.google.common.base.CharMatcher,method,public,whitespace(),false,-1,false,UNKNOWN,10,False,False,True,True,False,False
100,com.google.common.base.CharMatcher$1,method,private,<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;Ljava/lang/String;),false,0,true,NON_NULL,1,,,False,,,
101,com.google.common.base.CharMatcher$1,method,private,<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;Ljava/lang/String;),false,1,true,UNKNOWN,1,,,False,,,
102,com.google.common.base.CharMatcher$1,method,private,<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;Ljava/lang/String;),false,2,true,NON_NULL,1,,,False,,,
103,com.google.common.base.CharMatcher$And,method,private,<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;),false,0,true,NON_NULL,1,,,False,,,
104,com.google.common.base.CharMatcher$And,method,private,<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;),false,1,true,UNKNOWN,1,,,False,,,
105,com.google.common.base.CharMatcher$AnyOf,method,public,<init>(Ljava/lang/CharSequence;),false,0,true,NON_NULL,1,,,False,,,
106,com.google.common.base.CharMatcher$BitSetMatcher,method,private,<init>(Ljava/util/BitSet;Ljava/lang/String;Lcom/google/common/base/CharMatcher$1;),false,0,true,NON_NULL,1,,,False,,,
107,com.google.common.base.CharMatcher$BitSetMatcher,method,private,<init>(Ljava/util/BitSet;Ljava/lang/String;Lcom/google/common/base/CharMatcher$1;),false,1,true,UNKNOWN,1,,,False,,,
108,com.google.common.base.CharMatcher$BitSetMatcher,method,private,<init>(Ljava/util/BitSet;Ljava/lang/String;Lcom/google/common/base/CharMatcher$1;),false,2,true,NULL,1,,,False,,,
109,com.google.common.base.CharMatcher$ForPredicate,method,private,<init>(Lcom/google/common/base/Predicate;),false,0,true,UNKNOWN,1,,,False,,,
110,com.google.common.base.CharMatcher$InRange,method,private,<init>(CC),false,0,true,NON_NULL,1,,,False,,,
111,com.google.common.base.CharMatcher$InRange,method,private,<init>(CC),false,1,true,NON_NULL,1,,,False,,,
112,com.google.common.base.CharMatcher$Is,method,private,<init>(C),false,0,true,NON_NULL,1,,,False,,,
113,com.google.common.base.CharMatcher$IsEither,method,private,<init>(CC),false,0,true,NON_NULL,1,,,False,,,
114,com.google.common.base.CharMatcher$IsEither,method,private,<init>(CC),false,1,true,NON_NULL,1,,,False,,,
115,com.google.common.base.CharMatcher$IsNot,method,private,<init>(C),false,0,true,NON_NULL,1,,,False,,,
116,com.google.common.base.CharMatcher$NamedFastMatcher,method,private,<init>(Ljava/lang/String;),false,0,true,NON_NULL,5,,,False,,,
117,com.google.common.base.CharMatcher$NamedFastMatcher,method,private,<init>(Ljava/lang/String;),false,0,true,UNKNOWN,2,,,False,,,
118,com.google.common.base.CharMatcher$Negated,method,private,<init>(Lcom/google/common/base/CharMatcher;),false,0,true,NON_NULL,1,,,False,,,
