,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation
109,java.awt.Container,method,public,add(Ljava/awt/Component;Ljava/lang/Object;),false,1,false,UNKNOWN,22,False,NOT_MENTIONED
110,java.awt.Container,method,public,addPropertyChangeListener(Ljava/beans/PropertyChangeListener;),false,0,false,NON_NULL,44,False,MENTIONED_IN_GENERAL
111,java.awt.Container,method,public,addPropertyChangeListener(Ljava/beans/PropertyChangeListener;),false,0,false,UNKNOWN,11,False,MENTIONED_IN_GENERAL
112,java.awt.Container,method,public,addPropertyChangeListener(Ljava/lang/String;Ljava/beans/PropertyChangeListener;),false,0,false,NON_NULL,1562,False,MENTIONED_IN_GENERAL
113,java.awt.Container,method,public,addPropertyChangeListener(Ljava/lang/String;Ljava/beans/PropertyChangeListener;),false,1,false,NON_NULL,418,False,MENTIONED_IN_GENERAL
114,java.awt.Container,method,public,addPropertyChangeListener(Ljava/lang/String;Ljava/beans/PropertyChangeListener;),false,1,false,UNKNOWN,1144,False,MENTIONED_IN_GENERAL
115,java.awt.Container,method,public,getComponent(I),false,0,false,NON_NULL,77,False,NOT_MENTIONED
116,java.awt.Container,method,public,getComponentZOrder(Ljava/awt/Component;),false,0,false,NON_NULL,11,False,NOT_MENTIONED
117,java.awt.Container,method,public,getComponents(),false,-1,false,UNKNOWN,117,False,NOT_MENTIONED
118,java.awt.Container,method,public,getInsets(),false,-1,false,UNKNOWN,77,False,NOT_MENTIONED
119,java.awt.Container,method,public,getLayout(),false,-1,false,UNKNOWN,132,False,NOT_MENTIONED
120,java.awt.Container,method,public,getPreferredSize(),false,-1,false,UNKNOWN,44,False,MENTIONED_IN_GENERAL
121,java.awt.Container,method,public,remove(Ljava/awt/Component;),false,0,false,NON_NULL,11,False,NOT_MENTIONED
122,java.awt.Container,method,public,remove(Ljava/awt/Component;),false,0,false,UNKNOWN,44,False,NOT_MENTIONED
123,java.awt.Container,method,public,setLayout(Ljava/awt/LayoutManager;),false,0,false,NON_NULL,1174,False,NOT_MENTIONED
124,java.awt.Container,method,public,setLayout(Ljava/awt/LayoutManager;),false,0,false,UNKNOWN,22,False,NOT_MENTIONED
125,java.awt.Cursor,method,public,getPredefinedCursor(I),false,0,false,NON_NULL,22,False,NOT_MENTIONED
