class,method,getter
com.google.common.collect.ImmutableList$Builder,build()Lcom/google/common/collect/ImmutableList;,false
com.google.common.collect.ImmutableList$Builder,addAll(Ljava/util/Iterator;)Lcom/google/common/collect/ImmutableList$Builder;,false
com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys,linkedHashSetValues()Lcom/google/common/collect/MultimapBuilder$SetMultimapBuilder;,false
com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys,arrayListValues()Lcom/google/common/collect/MultimapBuilder$ListMultimapBuilder;,false
com.google.common.hash.HashCode,getBytesInternal()[B,false
com.google.common.collect.ImmutableMap$Builder,put(Ljava/lang/Object;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMap$Builder;,false
com.google.common.collect.ImmutableMap$Builder,build()Lcom/google/common/collect/ImmutableMap;,false
com.google.common.collect.MinMaxPriorityQueue,removeAt(I)Lcom/google/common/collect/MinMaxPriorityQueue$MoveDesc;,false
com.google.common.collect.ImmutableCollection,asList()Lcom/google/common/collect/ImmutableList;,false
com.google.common.cache.LocalCache$EntryFactory,copyEntry(Lcom/google/common/cache/LocalCache$Segment;Lcom/google/common/cache/LocalCache$ReferenceEntry;Lcom/google/common/cache/LocalCache$ReferenceEntry;)Lcom/google/common/cache/LocalCache$ReferenceEntry;,false
com.google.common.collect.AbstractMultiset,elementSet()Ljava/util/Set;,true
com.google.common.collect.TreeRangeMap,getEntry(Ljava/lang/Comparable;)Ljava/util/Map$Entry;,false
com.google.common.collect.ForwardingNavigableMap$StandardDescendingMap,forward()Ljava/util/NavigableMap;,false
com.google.common.collect.MapMakerInternalMap,getEntry(Ljava/lang/Object;)Lcom/google/common/collect/MapMakerInternalMap$InternalEntry;,false
com.google.common.collect.MapMakerInternalMap,valueEquivalence()Lcom/google/common/base/Equivalence;,false
com.google.common.collect.AbstractMapBasedMultimap$WrappedList,getListDelegate()Ljava/util/List;,false
com.google.common.collect.ImmutableSortedSet$Builder,addAll(Ljava/util/Iterator;)Lcom/google/common/collect/ImmutableSortedSet$Builder;,false
com.google.common.collect.ImmutableSortedSet$Builder,add([Ljava/lang/Object;)Lcom/google/common/collect/ImmutableSortedSet$Builder;,false
com.google.common.collect.FilteredEntryMultimap,keySet()Ljava/util/Set;,false
com.google.common.collect.Maps$KeySet,map()Ljava/util/Map;,true
com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;I)Lcom/google/common/base/MoreObjects$ToStringHelper;,false
com.google.common.base.MoreObjects$ToStringHelper,addValue(Ljava/lang/Object;)Lcom/google/common/base/MoreObjects$ToStringHelper;,false
com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;J)Lcom/google/common/base/MoreObjects$ToStringHelper;,false
com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;Ljava/lang/Object;)Lcom/google/common/base/MoreObjects$ToStringHelper;,false
com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;D)Lcom/google/common/base/MoreObjects$ToStringHelper;,false
com.google.common.io.ByteSource,sizeIfKnown()Lcom/google/common/base/Optional;,false
com.google.common.graph.GraphBuilder,allowsSelfLoops(Z)Lcom/google/common/graph/GraphBuilder;,false
com.google.common.graph.GraphBuilder,expectedNodeCount(I)Lcom/google/common/graph/GraphBuilder;,false
com.google.common.graph.GraphBuilder,build()Lcom/google/common/graph/MutableGraph;,false
com.google.common.collect.ImmutableRangeSet,subRangeSet(Lcom/google/common/collect/Range;)Lcom/google/common/collect/ImmutableRangeSet;,false
com.google.common.collect.StandardTable$ColumnMap,get(Ljava/lang/Object;)Ljava/util/Map;,false
com.google.common.escape.Escapers$Builder,addEscape(CLjava/lang/String;)Lcom/google/common/escape/Escapers$Builder;,false
com.google.common.graph.ValueGraphBuilder,expectedNodeCount(I)Lcom/google/common/graph/ValueGraphBuilder;,false
com.google.common.graph.ValueGraphBuilder,build()Lcom/google/common/graph/MutableValueGraph;,false
com.google.common.io.BaseEncoding$StandardBaseEncoding,trimTrailingPadding(Ljava/lang/CharSequence;)Ljava/lang/CharSequence;,false
com.google.common.reflect.TypeToken$TypeSet,rawTypes()Ljava/util/Set;,false
com.google.common.primitives.ImmutableDoubleArray$Builder,addAll(Ljava/lang/Iterable;)Lcom/google/common/primitives/ImmutableDoubleArray$Builder;,false
com.google.common.collect.AbstractMapBasedMultimap,backingMap()Ljava/util/Map;,false
com.google.common.collect.StandardTable,columnKeySet()Ljava/util/Set;,true
com.google.common.collect.ImmutableSet,asList()Lcom/google/common/collect/ImmutableList;,true
com.google.common.collect.ImmutableList,subList(II)Lcom/google/common/collect/ImmutableList;,false
com.google.common.collect.ImmutableList,iterator()Lcom/google/common/collect/UnmodifiableIterator;,false
com.google.common.collect.ImmutableList,reverse()Lcom/google/common/collect/ImmutableList;,false
com.google.common.collect.ImmutableMap,values()Lcom/google/common/collect/ImmutableCollection;,true
com.google.common.collect.ImmutableMap,entrySet()Lcom/google/common/collect/ImmutableSet;,true
com.google.common.collect.ImmutableMap,keySet()Lcom/google/common/collect/ImmutableSet;,true
com.google.common.collect.RegularImmutableAsList,delegateList()Lcom/google/common/collect/ImmutableList;,true
com.google.common.collect.RegularImmutableAsList,get(I)Ljava/lang/Object;,false
com.google.common.collect.ImmutableSetMultimap$Builder,putAll(Ljava/lang/Iterable;)Lcom/google/common/collect/ImmutableSetMultimap$Builder;,false
com.google.common.collect.ImmutableSetMultimap$Builder,build()Lcom/google/common/collect/ImmutableSetMultimap;,false
com.google.common.collect.Range,canonical(Lcom/google/common/collect/DiscreteDomain;)Lcom/google/common/collect/Range;,false
com.google.common.collect.Range,span(Lcom/google/common/collect/Range;)Lcom/google/common/collect/Range;,false
com.google.common.collect.Range,intersection(Lcom/google/common/collect/Range;)Lcom/google/common/collect/Range;,false
com.google.common.collect.LinkedListMultimap,removeAll(Ljava/lang/Object;)Ljava/util/List;,false
com.google.common.collect.LinkedListMultimap,keySet()Ljava/util/Set;,false
com.google.common.collect.ImmutableListMultimap,get(Ljava/lang/Object;)Lcom/google/common/collect/ImmutableList;,false
com.google.common.collect.ImmutableTable,columnKeySet()Lcom/google/common/collect/ImmutableSet;,false
com.google.common.collect.ImmutableTable,values()Lcom/google/common/collect/ImmutableCollection;,false
com.google.common.collect.ImmutableTable,get(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,false
com.google.common.collect.ImmutableTable,rowKeySet()Lcom/google/common/collect/ImmutableSet;,false
com.google.common.collect.ImmutableTable,cellSet()Lcom/google/common/collect/ImmutableSet;,false
com.google.common.collect.ImmutableSortedSet,headSet(Ljava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedSet;,false
com.google.common.collect.ImmutableSortedSet,tailSet(Ljava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedSet;,false
com.google.common.collect.ImmutableSortedSet,subSet(Ljava/lang/Object;ZLjava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedSet;,false
com.google.common.collect.ImmutableSortedSet,comparator()Ljava/util/Comparator;,true
com.google.common.collect.ImmutableMultiset,entrySet()Lcom/google/common/collect/ImmutableSet;,true
