class,method,variable,location,nullness,nullness.actual,comment,originClass,originMethod
com.google.common.collect.ConcurrentHashMultiset,remove(Ljava/lang/Object;I)I,existingCounter,281:-1,NON_NULL,NON_NULL,,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.ConcurrentHashMultiset,removeExactly(Ljava/lang/Object;I)Z,existingCounter,322:-1,NON_NULL,NON_NULL,,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.ConcurrentHashMultiset,setCount(Ljava/lang/Object;II)Z,existingCounter,420:-1,NON_NULL,NON_NULL,,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.ContiguousSet,create(Lcom/google/common/collect/Range;Lcom/google/common/collect/DiscreteDomain;)Lcom/google/common/collect/ContiguousSet;,effectiveRange,79:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.Range,intersection(Lcom/google/common/collect/Range;)Lcom/google/common/collect/Range;
com.google.common.collect.DenseImmutableTable$ImmutableArrayMap,get(Ljava/lang/Object;)Ljava/lang/Object;,keyIndex,122:-1,NON_NULL,NON_NULL,auto-boxing,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.EnumMultiset$Itr,remove()V,$r6,242:-1,UNKNOWN,?,invoke dynamic,com.google.common.collect.EnumMultiset,access$100(Lcom/google/common/collect/EnumMultiset;)[I
com.google.common.collect.ExplicitOrdering,rank(Ljava/lang/Object;)I,rank,47:-1,NON_NULL,NON_NULL,auto-boxing,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.FluentIterable,toSortedList(Ljava/util/Comparator;)Lcom/google/common/collect/ImmutableList;,$r0,632:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.Ordering,from(Ljava/util/Comparator;)Lcom/google/common/collect/Ordering;
com.google.common.collect.HashBiMap$Inverse,remove(Ljava/lang/Object;)Ljava/lang/Object;,entry,604:-1,NON_NULL,NON_NULL,,com.google.common.collect.HashBiMap,access$400(Lcom/google/common/collect/HashBiMap;Ljava/lang/Object;I)Lcom/google/common/collect/HashBiMap$BiEntry;
com.google.common.collect.HashBiMap$KeySet,remove(Ljava/lang/Object;)Z,entry,471:-1,NON_NULL,NON_NULL,,com.google.common.collect.HashBiMap,access$300(Lcom/google/common/collect/HashBiMap;Ljava/lang/Object;I)Lcom/google/common/collect/HashBiMap$BiEntry;
com.google.common.collect.ImmutableMapEntrySet,contains(Ljava/lang/Object;)Z,value,91:-1,NON_NULL,NON_NULL,,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.ImmutableMultimap$Builder,build()Lcom/google/common/collect/ImmutableMultimap;,sortedCopy#4,292:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.MultimapBuilder$ListMultimapBuilder,build()Lcom/google/common/collect/ListMultimap;
com.google.common.collect.ImmutableMultimap$Keys,count(Ljava/lang/Object;)I,values,651:-1,NON_NULL,NON_NULL,,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.ImmutableMultiset,of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;[Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMultiset;,$r5,171:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.ImmutableMultiset$Builder,add(Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMultiset$Builder;
com.google.common.collect.ImmutableSortedMap,fromEntries(Ljava/util/Comparator;ZLjava/lang/Iterable;)Lcom/google/common/collect/ImmutableSortedMap;,entryArray,362:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.Iterables,toArray(Ljava/lang/Iterable;[Ljava/lang/Object;)[Ljava/lang/Object;
com.google.common.collect.Interners,newStrongInterner()Lcom/google/common/collect/Interner;,$r1,100:-1,NON_NULL,UNKNOWN,strong() mistakenly classified as getter for boolean,com.google.common.collect.Interners$InternerBuilder,strong()Lcom/google/common/collect/Interners$InternerBuilder;
com.google.common.collect.Iterables,get(Ljava/lang/Iterable;ILjava/lang/Object;)Ljava/lang/Object;,list,782:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.Lists,cast(Ljava/lang/Iterable;)Ljava/util/List;
