class,attribute,visibility,name,getter,index,internal,nullness,n
java.util.stream.Collectors,method,public,collectingAndThen(Ljava/util/stream/Collector;Ljava/util/function/Function;)Ljava/util/stream/Collector;,false,0,false,UNKNOWN,55
java.util.List,method,public,set(ILjava/lang/Object;)Ljava/lang/Object;,false,0,false,NON_NULL,152
java.util.logging.Logger,method,public,log(Ljava/util/logging/Level;Ljava/lang/String;)V,false,0,false,UNKNOWN,80
java.time.format.DateTimeFormatter,method,public,ofPattern(Ljava/lang/String;Ljava/util/Locale;)Ljava/time/format/DateTimeFormatter;,false,1,false,UNKNOWN,7
java.util.Calendar,method,public,before(Ljava/lang/Object;)Z,false,0,false,UNKNOWN,6
java.math.BigInteger,method,public,mod(Ljava/math/BigInteger;)Ljava/math/BigInteger;,false,0,false,UNKNOWN,3
java.util.function.BiFunction,method,public,apply(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,false,0,false,NON_NULL,84
java.io.OutputStream,method,public,write([BII)V,false,1,false,NON_NULL,253
java.util.List,method,public,addAll(ILjava/util/Collection;)Z,false,1,false,UNKNOWN,62
java.util.ArrayList,method,public,contains(Ljava/lang/Object;)Z,false,0,false,UNKNOWN,14
java.util.Arrays,method,public,copyOfRange([FII)[F,false,2,false,NON_NULL,12
java.io.Reader,method,public,skip(J)J,false,0,false,NON_NULL,50
java.math.BigInteger,method,public,multiply(Ljava/math/BigInteger;)Ljava/math/BigInteger;,false,0,false,UNKNOWN,146
javax.xml.xpath.XPath,method,public,evaluate(Ljava/lang/String;Ljava/lang/Object;Ljavax/xml/namespace/QName;)Ljava/lang/Object;,false,0,false,UNKNOWN,5
java.util.stream.Stream,method,public,forEachOrdered(Ljava/util/function/Consumer;)V,false,0,false,UNKNOWN,149
java.net.Socket,method,public,connect(Ljava/net/SocketAddress;I)V,false,0,false,NON_NULL,12
java.sql.CallableStatement,method,public,setNull(Ljava/lang/String;ILjava/lang/String;)V,false,1,false,NON_NULL,9
java.io.File,method,public,<init>(Ljava/lang/String;Ljava/lang/String;)V,false,1,false,UNKNOWN,66
java.net.URI,method,public,<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,false,2,false,UNKNOWN,1
sun.misc.Unsafe,method,public,compareAndSwapLong(Ljava/lang/Object;JJJ)Z,false,2,false,NON_NULL,54
java.nio.file.Files,method,public,readAttributes(Ljava/nio/file/Path;Ljava/lang/Class;[Ljava/nio/file/LinkOption;)Ljava/nio/file/attribute/BasicFileAttributes;,false,0,false,NON_NULL,2
java.nio.file.Files,method,public,copy(Ljava/nio/file/Path;Ljava/nio/file/Path;[Ljava/nio/file/CopyOption;)Ljava/nio/file/Path;,false,0,false,UNKNOWN,48
javax.swing.JTree,method,public,setLargeModel(Z)V,false,0,false,NON_NULL,11
java.math.BigInteger,method,public,compareTo(Ljava/math/BigInteger;)I,false,0,false,UNKNOWN,152
java.nio.channels.FileChannel,method,public,map(Ljava/nio/channels/FileChannel$MapMode;JJ)Ljava/nio/MappedByteBuffer;,false,0,false,UNKNOWN,20
javax.swing.JColorChooser,method,public,setColor(Ljava/awt/Color;)V,false,0,false,UNKNOWN,11
java.util.Arrays,method,public,equals([Z[Z)Z,false,1,false,UNKNOWN,6
javax.xml.parsers.DocumentBuilder,method,public,parse(Lorg/xml/sax/InputSource;)Lorg/w3c/dom/Document;,false,0,false,UNKNOWN,16
java.sql.ResultSet,method,public,updateArray(Ljava/lang/String;Ljava/sql/Array;)V,false,0,false,UNKNOWN,19
javax.swing.ListSelectionModel,method,public,removeListSelectionListener(Ljavax/swing/event/ListSelectionListener;)V,false,0,false,UNKNOWN,66
java.sql.CallableStatement,method,public,getDate(ILjava/util/Calendar;)Ljava/sql/Date;,false,0,false,NON_NULL,18
java.awt.Component,method,public,removeKeyListener(Ljava/awt/event/KeyListener;)V,false,0,false,UNKNOWN,5
java.io.DataOutput,method,public,writeBoolean(Z)V,false,0,false,NON_NULL,15
javax.swing.BorderFactory,method,public,createLineBorder(Ljava/awt/Color;I)Ljavax/swing/border/Border;,false,0,false,UNKNOWN,11
java.net.Proxy,method,public,<init>(Ljava/net/Proxy$Type;Ljava/net/SocketAddress;)V,false,0,false,UNKNOWN,20
javax.swing.JOptionPane,method,public,setValue(Ljava/lang/Object;)V,false,0,false,UNKNOWN,11
java.util.Arrays,method,public,copyOf([DI)[D,false,0,false,NON_NULL,28
java.util.Map,method,public,putAll(Ljava/util/Map;)V,false,0,false,NON_NULL,175
java.nio.file.FileVisitor,method,public,preVisitDirectory(Ljava/lang/Object;Ljava/nio/file/attribute/BasicFileAttributes;)Ljava/nio/file/FileVisitResult;,false,1,false,NULL,1
java.util.concurrent.PriorityBlockingQueue,method,public,<init>(I)V,false,0,false,NON_NULL,2
javax.swing.DefaultBoundedRangeModel,method,public,<init>(IIII)V,false,1,false,NON_NULL,22
javax.swing.ListSelectionModel,method,public,isSelectedIndex(I)Z,false,0,false,NON_NULL,44
java.lang.Byte,method,public,parseByte(Ljava/lang/String;)B,false,0,false,NON_NULL,15
java.sql.ResultSet,method,public,updateSQLXML(Ljava/lang/String;Ljava/sql/SQLXML;)V,false,0,false,UNKNOWN,19
java.util.concurrent.ThreadFactory,method,public,newThread(Ljava/lang/Runnable;)Ljava/lang/Thread;,false,0,false,UNKNOWN,33
java.security.DigestInputStream,method,public,<init>(Ljava/io/InputStream;Ljava/security/MessageDigest;)V,false,0,false,UNKNOWN,3
java.nio.file.Files,method,public,newDirectoryStream(Ljava/nio/file/Path;)Ljava/nio/file/DirectoryStream;,false,0,false,UNKNOWN,43
java.nio.channels.DatagramChannel,method,public,receive(Ljava/nio/ByteBuffer;)Ljava/net/SocketAddress;,false,0,false,UNKNOWN,4
java.util.concurrent.ConcurrentHashMap,method,public,<init>(I)V,false,0,false,NON_NULL,130
javax.swing.text.JTextComponent,method,public,setCaretPosition(I)V,false,0,false,NON_NULL,49
java.util.Map,method,public,computeIfAbsent(Ljava/lang/Object;Ljava/util/function/Function;)Ljava/lang/Object;,false,0,false,NULL,2
java.sql.ResultSet,method,public,updateBlob(ILjava/sql/Blob;)V,false,0,false,NON_NULL,19
java.sql.CallableStatement,method,public,setNString(Ljava/lang/String;Ljava/lang/String;)V,false,0,false,UNKNOWN,9
java.time.LocalDateTime,method,public,plus(JLjava/time/temporal/TemporalUnit;)Ljava/time/LocalDateTime;,false,1,false,UNKNOWN,10
javax.imageio.ImageReader,method,public,getHeight(I)I,false,0,false,NON_NULL,8
javax.lang.model.util.Elements,method,public,overrides(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z,false,0,false,UNKNOWN,2
java.sql.ResultSet,method,public,relative(I)Z,false,0,false,NON_NULL,19
java.util.LinkedList,method,public,listIterator(I)Ljava/util/ListIterator;,false,0,false,NON_NULL,23
java.lang.Float,method,public,intBitsToFloat(I)F,false,0,false,NON_NULL,33
java.util.concurrent.CompletableFuture,method,public,whenCompleteAsync(Ljava/util/function/BiConsumer;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,false,1,false,UNKNOWN,20
java.awt.Component,method,public,setSize(II)V,false,0,false,NON_NULL,22
java.text.Format,method,public,format(Ljava/lang/Object;Ljava/lang/StringBuffer;Ljava/text/FieldPosition;)Ljava/lang/StringBuffer;,false,0,false,UNKNOWN,3
java.lang.RuntimeException,method,protected,<init>(Ljava/lang/String;Ljava/lang/Throwable;ZZ)V,false,2,false,NON_NULL,12
java.security.KeyPairGenerator,method,public,getInstance(Ljava/lang/String;)Ljava/security/KeyPairGenerator;,false,0,false,NON_NULL,4
java.sql.CallableStatement,method,public,setTime(Ljava/lang/String;Ljava/sql/Time;Ljava/util/Calendar;)V,false,1,false,UNKNOWN,9
java.util.concurrent.CancellationException,method,public,<init>(Ljava/lang/String;)V,false,0,false,UNKNOWN,15
java.lang.IllegalStateException,method,public,<init>(Ljava/lang/String;)V,false,0,false,NON_NULL,804
java.util.Collections,method,public,disjoint(Ljava/util/Collection;Ljava/util/Collection;)Z,false,1,false,UNKNOWN,19
java.beans.Introspector,method,public,getBeanInfo(Ljava/lang/Class;Ljava/lang/Class;)Ljava/beans/BeanInfo;,false,1,false,UNKNOWN,1
java.text.Collator,method,public,compare(Ljava/lang/String;Ljava/lang/String;)I,false,0,false,UNKNOWN,2
java.lang.String,method,public,toLowerCase(Ljava/util/Locale;)Ljava/lang/String;,false,0,false,UNKNOWN,982
java.sql.ResultSet,method,public,updateTime(ILjava/sql/Time;)V,false,0,false,NON_NULL,19
java.nio.channels.FileLock,method,protected,<init>(Ljava/nio/channels/FileChannel;JJZ)V,false,3,false,NON_NULL,2
java.util.HashMap,method,public,putAll(Ljava/util/Map;)V,false,0,false,UNKNOWN,19
java.awt.geom.Path2D$Float,method,public,lineTo(FF)V,false,1,false,NON_NULL,3
java.io.InputStreamReader,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;)V,false,0,false,UNKNOWN,53
java.lang.reflect.Field,method,public,getAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;,false,0,false,NON_NULL,19
java.util.Calendar,method,public,after(Ljava/lang/Object;)Z,false,0,false,NON_NULL,3
java.lang.String,method,public,codePointAt(I)I,false,0,false,NON_NULL,30
java.util.Collections,method,public,checkedList(Ljava/util/List;Ljava/lang/Class;)Ljava/util/List;,false,1,false,NON_NULL,1
java.awt.GridBagConstraints,method,public,<init>(IIIIDDIILjava/awt/Insets;II)V,false,0,false,NON_NULL,3366
java.nio.CharBuffer,method,public,wrap([CII)Ljava/nio/CharBuffer;,false,0,false,UNKNOWN,14
java.time.format.DateTimeFormatterBuilder,method,public,appendValue(Ljava/time/temporal/TemporalField;I)Ljava/time/format/DateTimeFormatterBuilder;,false,1,false,NON_NULL,45
java.lang.Double,method,public,compare(DD)I,false,0,false,NON_NULL,77
java.awt.Window,method,public,setLocationRelativeTo(Ljava/awt/Component;)V,false,0,false,NON_NULL,11
java.awt.CardLayout,method,public,preferredLayoutSize(Ljava/awt/Container;)Ljava/awt/Dimension;,false,0,false,UNKNOWN,11
java.util.Arrays,method,public,sort([I)V,false,0,false,NON_NULL,15
java.nio.file.Files,method,public,isWritable(Ljava/nio/file/Path;)Z,false,0,false,UNKNOWN,4
javax.swing.InputMap,method,public,put(Ljavax/swing/KeyStroke;Ljava/lang/Object;)V,false,0,false,UNKNOWN,88
java.util.BitSet,method,public,nextClearBit(I)I,false,0,false,NON_NULL,15
java.util.concurrent.atomic.AtomicReferenceArray,method,public,compareAndSet(ILjava/lang/Object;Ljava/lang/Object;)Z,false,1,false,NON_NULL,15
java.util.NavigableMap,method,public,tailMap(Ljava/lang/Object;Z)Ljava/util/NavigableMap;,false,0,false,UNKNOWN,289
java.lang.ref.SoftReference,method,public,<init>(Ljava/lang/Object;)V,false,0,false,NON_NULL,6
java.sql.CallableStatement,method,public,getShort(Ljava/lang/String;)S,false,0,false,UNKNOWN,9
java.util.Arrays,method,public,equals([I[I)Z,false,0,false,UNKNOWN,14
java.text.BreakIterator,method,public,getWordInstance(Ljava/util/Locale;)Ljava/text/BreakIterator;,false,0,false,NON_NULL,3
java.util.Spliterators,method,public,spliterator([DIII)Ljava/util/Spliterator$OfDouble;,false,2,false,NON_NULL,24
javax.swing.DefaultCellEditor,method,public,<init>(Ljavax/swing/JCheckBox;)V,false,0,false,UNKNOWN,11
java.time.LocalDate,method,public,of(III)Ljava/time/LocalDate;,false,2,false,NON_NULL,7
java.util.concurrent.atomic.AtomicLongFieldUpdater,method,public,newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicLongFieldUpdater;,false,0,false,NON_NULL,193
java.sql.PreparedStatement,method,public,setRowId(ILjava/sql/RowId;)V,false,1,false,UNKNOWN,31
java.lang.Integer,method,public,valueOf(Ljava/lang/String;)Ljava/lang/Integer;,false,0,false,NON_NULL,34
javax.management.MBeanServer,method,public,addNotificationListener(Ljavax/management/ObjectName;Ljavax/management/NotificationListener;Ljavax/management/NotificationFilter;Ljava/lang/Object;)V,false,2,false,NULL,5
javax.annotation.processing.Filer,method,public,createResource(Ljavax/tools/JavaFileManager$Location;Ljava/lang/CharSequence;Ljava/lang/CharSequence;[Ljavax/lang/model/element/Element;)Ljavax/tools/FileObject;,false,0,false,UNKNOWN,9
java.lang.ClassLoader,method,public,getSystemResource(Ljava/lang/String;)Ljava/net/URL;,false,0,false,UNKNOWN,6
java.security.KeyStore,method,public,setEntry(Ljava/lang/String;Ljava/security/KeyStore$Entry;Ljava/security/KeyStore$ProtectionParameter;)V,false,2,false,UNKNOWN,9
