"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"19","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","maximumSize(J)",FALSE,"return",-1,"Nullable","NonNull",0,0,41,41,0,0,"NonNull"
"20","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","newBuilder()",FALSE,"return",-1,"Nullable","NonNull",0,0,72,72,0,0,"NonNull"
"21","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","removalListener(Lcom/google/common/cache/RemovalListener;)",FALSE,"return",-1,"Nullable","NonNull",0,0,10,10,0,0,"NonNull"
"22","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","setKeyStrength(Lcom/google/common/cache/LocalCache$Strength;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"23","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","setValueStrength(Lcom/google/common/cache/LocalCache$Strength;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"24","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","valueEquivalence(Lcom/google/common/base/Equivalence;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"25","com.google.common.cache.LocalCache$ManualSerializationProxy","com.google.common.cache.LocalCache$ManualSerializationProxy","recreateCacheBuilder()",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"26","com.google.common.collect.ArrayListMultimap","com.google.common.collect.ArrayListMultimap","create()",FALSE,"return",-1,"NonNull","NonNull",0,0,24,24,0,0,"NonNull"
"27","com.google.common.collect.Collections2","com.google.common.collect.Collections2","newStringBuilderForCollection(I)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"28","com.google.common.collect.ContiguousSet","com.google.common.collect.ContiguousSet","create(Lcom/google/common/collect/Range;Lcom/google/common/collect/DiscreteDomain;)",FALSE,"return",-1,"Nullable","NonNull",0,0,2,2,0,0,"NonNull"
