"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"60","com.google.common.base.Joiner","com.google.common.base.Joiner","skipNulls()",FALSE,"return",-1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"61","com.google.common.base.Joiner","com.google.common.base.Joiner","toString(Ljava/lang/Object;)",FALSE,"parameter",0,"NonNull","NonNull",1,2,4,7,1,0.142857142857143,"Nullable"
"62","com.google.common.base.Joiner","com.google.common.base.Joiner","useForNull(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,2,1,3,0,0,"NonNull"
"63","com.google.common.base.Joiner","com.google.common.base.Joiner","useForNull(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"64","com.google.common.base.Joiner","com.google.common.base.Joiner","withKeyValueSeparator(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"65","com.google.common.base.Joiner$MapJoiner","com.google.common.base.Joiner$MapJoiner","appendTo(Ljava/lang/StringBuilder;Ljava/lang/Iterable;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"66","com.google.common.base.Joiner$MapJoiner","com.google.common.base.Joiner$MapJoiner","join(Ljava/util/Map;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"67","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","firstNonNull(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"parameter",0,"Nullable","NonNull",0,0,30,30,0,0,"NonNull"
"68","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","firstNonNull(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"parameter",1,"Nullable","NonNull",0,5,25,30,0,0,"NonNull"
"69","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/Class;)",FALSE,"parameter",0,"NonNull","NonNull",0,7,0,7,0,0,"NonNull"
"70","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/Class;)",FALSE,"return",-1,"Nullable","NonNull",0,0,7,7,0,0,"NonNull"
"71","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/Object;)",FALSE,"parameter",0,"NonNull","NonNull",0,153,6,159,0,0,"NonNull"
"72","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/Object;)",FALSE,"return",-1,"Nullable","NonNull",0,0,180,180,0,0,"NonNull"
"73","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/String;)",FALSE,"return",-1,"Nullable","NonNull",0,0,4,4,0,0,"NonNull"
"74","com.google.common.base.MoreObjects$ToStringHelper","com.google.common.base.MoreObjects$ToStringHelper","omitNullValues()",TRUE,"return",-1,"Nullable","NonNull",0,9,0,9,9,1,"Nullable"
"75","com.google.common.base.Objects","com.google.common.base.Objects","equal(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"parameter",0,"Nullable","Nullable",0,2,135,137,0,0,"NonNull"
"76","com.google.common.base.Optional","com.google.common.base.Optional","fromNullable(Ljava/lang/Object;)",FALSE,"parameter",0,"Nullable","Nullable",0,0,13,13,0,0,"NonNull"
"77","com.google.common.base.Optional","com.google.common.base.Optional","of(Ljava/lang/Object;)",FALSE,"parameter",0,"Unknown","NonNull",2,9,28,39,2,0.0512820512820513,"Nullable"
"78","com.google.common.base.PairwiseEquivalence","com.google.common.base.PairwiseEquivalence","<init>(Lcom/google/common/base/Equivalence;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,1,2,0,0,"NonNull"
"79","com.google.common.base.Platform","com.google.common.base.Platform","compilePattern(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"80","com.google.common.base.Platform","com.google.common.base.Platform","getEnumIfPresent(Ljava/lang/Class;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"81","com.google.common.base.Platform","com.google.common.base.Platform","precomputeCharMatcher(Lcom/google/common/base/CharMatcher;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"82","com.google.common.base.Platform","com.google.common.base.Platform","stringIsNullOrEmpty(Ljava/lang/String;)",FALSE,"parameter",0,"Nullable","Nullable",0,0,1,1,0,0,"NonNull"
"83","com.google.common.base.Preconditions","com.google.common.base.Preconditions","format(Ljava/lang/String;[Ljava/lang/Object;)",FALSE,"parameter",1,"NonNull","NonNull",0,22,1,23,0,0,"NonNull"
"84","com.google.common.base.Predicates","com.google.common.base.Predicates","and(Lcom/google/common/base/Predicate;Lcom/google/common/base/Predicate;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,19,19,0,0,"NonNull"
"85","com.google.common.base.Predicates","com.google.common.base.Predicates","and(Lcom/google/common/base/Predicate;Lcom/google/common/base/Predicate;)",FALSE,"parameter",1,"NonNull","NonNull",0,2,17,19,0,0,"NonNull"
"86","com.google.common.base.Predicates","com.google.common.base.Predicates","equalTo(Ljava/lang/Object;)",FALSE,"parameter",0,"Nullable","Nullable",0,6,1,7,0,0,"NonNull"
"87","com.google.common.base.Predicates$ContainsPatternPredicate","com.google.common.base.Predicates$ContainsPatternPredicate","<init>(Lcom/google/common/base/CommonPattern;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,1,2,0,0,"NonNull"
"88","com.google.common.base.Predicates$NotPredicate","com.google.common.base.Predicates$NotPredicate","<init>(Lcom/google/common/base/Predicate;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"89","com.google.common.base.SmallCharMatcher","com.google.common.base.SmallCharMatcher","from(Ljava/util/BitSet;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"90","com.google.common.base.Splitter","com.google.common.base.Splitter","access$000(Lcom/google/common/base/Splitter;Ljava/lang/CharSequence;)",FALSE,"parameter",0,"Unknown","NonNull",0,0,2,2,0,0,"NonNull"
"91","com.google.common.base.Splitter","com.google.common.base.Splitter","access$200(Lcom/google/common/base/Splitter;)",FALSE,"parameter",0,"Unknown","NonNull",0,0,1,1,0,0,"NonNull"
"92","com.google.common.base.Splitter","com.google.common.base.Splitter","access$300(Lcom/google/common/base/Splitter;)",FALSE,"parameter",0,"Unknown","NonNull",0,0,1,1,0,0,"NonNull"
"93","com.google.common.base.Splitter","com.google.common.base.Splitter","access$400(Lcom/google/common/base/Splitter;)",FALSE,"parameter",0,"Unknown","NonNull",0,0,1,1,0,0,"NonNull"
"94","com.google.common.base.Splitter","com.google.common.base.Splitter","omitEmptyStrings()",TRUE,"return",-1,"Nullable","NonNull",0,14,0,14,14,1,"Nullable"
"95","com.google.common.base.Splitter","com.google.common.base.Splitter","on(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,5,2,7,0,0,"NonNull"
"96","com.google.common.base.Splitter","com.google.common.base.Splitter","split(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,5,18,23,0,0,"NonNull"
"97","com.google.common.base.Splitter","com.google.common.base.Splitter","split(Ljava/lang/CharSequence;)",FALSE,"return",-1,"Nullable","NonNull",0,0,11,11,0,0,"NonNull"
"98","com.google.common.base.Splitter","com.google.common.base.Splitter","splitToList(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,23,24,0,0,"NonNull"
"99","com.google.common.base.Stopwatch","com.google.common.base.Stopwatch","elapsed(Ljava/util/concurrent/TimeUnit;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,7,7,0,0,"NonNull"
"100","com.google.common.base.Strings","com.google.common.base.Strings","nullToEmpty(Ljava/lang/String;)",FALSE,"parameter",0,"Nullable","Nullable",0,0,4,4,0,0,"NonNull"
"101","com.google.common.base.Strings","com.google.common.base.Strings","padEnd(Ljava/lang/String;IC)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"102","com.google.common.base.Strings","com.google.common.base.Strings","padStart(Ljava/lang/String;IC)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"103","com.google.common.base.Strings","com.google.common.base.Strings","repeat(Ljava/lang/String;I)",FALSE,"parameter",0,"NonNull","NonNull",0,11,0,11,0,0,"NonNull"
"104","com.google.common.base.Suppliers$ExpiringMemoizingSupplier","com.google.common.base.Suppliers$ExpiringMemoizingSupplier","<init>(Lcom/google/common/base/Supplier;JLjava/util/concurrent/TimeUnit;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"105","com.google.common.base.Suppliers$ExpiringMemoizingSupplier","com.google.common.base.Suppliers$ExpiringMemoizingSupplier","<init>(Lcom/google/common/base/Supplier;JLjava/util/concurrent/TimeUnit;)",FALSE,"parameter",2,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"106","com.google.common.base.Suppliers$MemoizingSupplier","com.google.common.base.Suppliers$MemoizingSupplier","<init>(Lcom/google/common/base/Supplier;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"107","com.google.common.base.Suppliers$NonSerializableMemoizingSupplier","com.google.common.base.Suppliers$NonSerializableMemoizingSupplier","<init>(Lcom/google/common/base/Supplier;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"108","com.google.common.base.Throwables","com.google.common.base.Throwables","getRootCause(Ljava/lang/Throwable;)",FALSE,"parameter",0,"NonNull","NonNull",0,13,0,13,0,0,"NonNull"
"109","com.google.common.base.Throwables","com.google.common.base.Throwables","getStackTraceAsString(Ljava/lang/Throwable;)",FALSE,"parameter",0,"NonNull","NonNull",0,3,1,4,0,0,"NonNull"
"110","com.google.common.base.Throwables","com.google.common.base.Throwables","propagateIfPossible(Ljava/lang/Throwable;Ljava/lang/Class;Ljava/lang/Class;)",FALSE,"parameter",2,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"111","com.google.common.base.Throwables","com.google.common.base.Throwables","throwIfInstanceOf(Ljava/lang/Throwable;Ljava/lang/Class;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"112","com.google.common.base.Throwables","com.google.common.base.Throwables","throwIfInstanceOf(Ljava/lang/Throwable;Ljava/lang/Class;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"113","com.google.common.base.Throwables","com.google.common.base.Throwables","throwIfUnchecked(Ljava/lang/Throwable;)",FALSE,"parameter",0,"NonNull","NonNull",0,11,2,13,0,0,"NonNull"
"114","com.google.common.cache.AbstractCache$SimpleStatsCounter","com.google.common.cache.AbstractCache$SimpleStatsCounter","incrementBy(Lcom/google/common/cache/AbstractCache$StatsCounter;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"115","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","concurrencyLevel(I)",FALSE,"return",-1,"Nullable","NonNull",0,0,11,11,0,0,"NonNull"
"116","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","expireAfterAccess(JLjava/util/concurrent/TimeUnit;)",FALSE,"parameter",1,"NonNull","NonNull",0,1,20,21,0,0,"NonNull"
"117","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","expireAfterAccess(JLjava/util/concurrent/TimeUnit;)",FALSE,"return",-1,"Nullable","NonNull",0,0,17,17,0,0,"NonNull"
