class,attribute,visibility,name,index,type,primitive,nullness
org.apache.commons.io.comparator.PathFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,0,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.PathFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,-1,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.PathFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,0,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.PathFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.PathFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.PathFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.PathFileComparator,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.ReverseComparator,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.comparator.ReverseComparator,field,,delegate,-1,,,NonNull
org.apache.commons.io.comparator.ReverseComparator,method,,<init>(Ljava/util/Comparator;)V,-1,V,true,Unknown
org.apache.commons.io.comparator.ReverseComparator,method,,<init>(Ljava/util/Comparator;)V,0,Ljava/util/Comparator;,false,NonNull
org.apache.commons.io.comparator.ReverseComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.ReverseComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.ReverseComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,1,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.ReverseComparator,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.comparator.ReverseComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.ReverseComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.ReverseComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.SizeFileComparator,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.comparator.SizeFileComparator,field,,SIZE_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.SizeFileComparator,field,,SIZE_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.SizeFileComparator,field,,SIZE_SUMDIR_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.SizeFileComparator,field,,SIZE_SUMDIR_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.SizeFileComparator,field,,sumDirectoryContents,-1,,,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.SizeFileComparator,method,,<init>(Z)V,-1,V,true,Unknown
org.apache.commons.io.comparator.SizeFileComparator,method,,<init>(Z)V,0,Z,true,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,1,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,-1,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.SizeFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,0,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.SizeFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,-1,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.SizeFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,0,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.SizeFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.SizeFileComparator,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.CopyUtils,field,,DEFAULT_BUFFER_SIZE,-1,,,NonNull
org.apache.commons.io.CopyUtils,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/OutputStream;)V,-1,V,true,Unknown
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/OutputStream;)V,0,[B,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/OutputStream;)V,1,Ljava/io/OutputStream;,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/Writer;)V,-1,V,true,Unknown
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/Writer;)V,0,[B,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/Writer;)V,1,Ljava/io/Writer;,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/Writer;Ljava/lang/String;)V,-1,V,true,Unknown
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/Writer;Ljava/lang/String;)V,0,[B,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/Writer;Ljava/lang/String;)V,1,Ljava/io/Writer;,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy([BLjava/io/Writer;Ljava/lang/String;)V,2,Ljava/lang/String;,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy(Ljava/io/InputStream;Ljava/io/OutputStream;)I,-1,I,true,NonNull
org.apache.commons.io.CopyUtils,method,,copy(Ljava/io/InputStream;Ljava/io/OutputStream;)I,0,Ljava/io/InputStream;,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy(Ljava/io/InputStream;Ljava/io/OutputStream;)I,1,Ljava/io/OutputStream;,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy(Ljava/io/Reader;Ljava/io/Writer;)I,-1,I,true,NonNull
org.apache.commons.io.CopyUtils,method,,copy(Ljava/io/Reader;Ljava/io/Writer;)I,0,Ljava/io/Reader;,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy(Ljava/io/Reader;Ljava/io/Writer;)I,1,Ljava/io/Writer;,false,NonNull
org.apache.commons.io.CopyUtils,method,,copy(Ljava/io/InputStream;Ljava/io/Writer;)V,-1,V,true,Unknown
