"","rootClass","class","attribute","name","index","nullness.reduced","nullness.annotated","nullness"
"106","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","builder()",-1,"Nullable","NonNull","Nullable"
"107","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultiset","method","copyOf(Ljava/lang/Iterable;)",-1,"Nullable","NonNull","Nullable"
"108","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultiset","method","copyOf(Ljava/util/Iterator;)",-1,"Nullable","NonNull","Nullable"
"109","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","copyOf([Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"110","com.google.common.collect.ImmutableMultiset","com.google.common.collect.DescendingImmutableSortedMultiset","method","getEntry(I)",-1,"Nullable","NonNull","Nullable"
"111","com.google.common.collect.ImmutableMultiset","com.google.common.collect.RegularImmutableMultiset","method","getEntry(I)",-1,"Nullable","NonNull","Nullable"
"112","com.google.common.collect.ImmutableMultiset","com.google.common.collect.RegularImmutableSortedMultiset","method","getEntry(I)",-1,"Nullable","NonNull","Nullable"
"113","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultiset","method","of()",-1,"Nullable","NonNull","Nullable"
"114","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","of(Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"115","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"116","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"117","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"118","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"119","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;[Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"120","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","toImmutableMultiset()",-1,"Nullable","NonNull","Nullable"
