class,classVisibility,attribute,visibility,name,index,type,primitive,rootClass,abstract
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedFloat([BIF)V,2,F,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedFloat([BI)F,-1,F,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedFloat([BI)F,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedFloat([BI)F,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedDouble([BID)V,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedDouble([BID)V,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedDouble([BID)V,2,D,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedDouble([BI)D,-1,D,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedDouble([BI)D,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedDouble([BI)D,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedShort(Ljava/io/OutputStream;S)V,0,Ljava/io/OutputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedShort(Ljava/io/OutputStream;S)V,1,S,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedShort(Ljava/io/InputStream;)S,-1,S,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedShort(Ljava/io/InputStream;)S,0,Ljava/io/InputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedShort(Ljava/io/InputStream;)I,-1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedShort(Ljava/io/InputStream;)I,0,Ljava/io/InputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedInteger(Ljava/io/OutputStream;I)V,0,Ljava/io/OutputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedInteger(Ljava/io/OutputStream;I)V,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedInteger(Ljava/io/InputStream;)I,-1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedInteger(Ljava/io/InputStream;)I,0,Ljava/io/InputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedInteger(Ljava/io/InputStream;)J,-1,J,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedInteger(Ljava/io/InputStream;)J,0,Ljava/io/InputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedLong(Ljava/io/OutputStream;J)V,0,Ljava/io/OutputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedLong(Ljava/io/OutputStream;J)V,1,J,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedLong(Ljava/io/InputStream;)J,-1,J,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedLong(Ljava/io/InputStream;)J,0,Ljava/io/InputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedFloat(Ljava/io/OutputStream;F)V,0,Ljava/io/OutputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedFloat(Ljava/io/OutputStream;F)V,1,F,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedFloat(Ljava/io/InputStream;)F,-1,F,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedFloat(Ljava/io/InputStream;)F,0,Ljava/io/InputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedDouble(Ljava/io/OutputStream;D)V,0,Ljava/io/OutputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedDouble(Ljava/io/OutputStream;D)V,1,D,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedDouble(Ljava/io/InputStream;)D,-1,D,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedDouble(Ljava/io/InputStream;)D,0,Ljava/io/InputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,private,read(Ljava/io/InputStream;)I,-1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,private,read(Ljava/io/InputStream;)I,0,Ljava/io/InputStream;,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,BUFFER_SIZE,-1,I,true,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,UTF_8,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,US_ASCII,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,UTF_16BE,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,UTF_16LE,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,UTF_32BE,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,UTF_32LE,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,UTF_16,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,UTF_32,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,EBCDIC,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,BOMS,-1,[Lorg/apache/commons/io/ByteOrderMark;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,XML_GUESS_BYTES,-1,[Lorg/apache/commons/io/ByteOrderMark;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,reader,-1,Ljava/io/Reader;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,encoding,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,defaultEncoding,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,CHARSET_PATTERN,-1,Ljava/util/regex/Pattern;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,public,ENCODING_PATTERN,-1,Ljava/util/regex/Pattern;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,RAW_EX_1,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,RAW_EX_2,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,HTTP_EX_1,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,HTTP_EX_2,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,field,private,HTTP_EX_3,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,getDefaultEncoding()Ljava/lang/String;,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/File;)V,0,Ljava/io/File;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;)V,0,Ljava/io/InputStream;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Z)V,0,Ljava/io/InputStream;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Z)V,1,Z,true,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;ZLjava/lang/String;)V,0,Ljava/io/InputStream;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;ZLjava/lang/String;)V,1,Z,true,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;ZLjava/lang/String;)V,2,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/net/URL;)V,0,Ljava/net/URL;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/net/URLConnection;Ljava/lang/String;)V,0,Ljava/net/URLConnection;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/net/URLConnection;Ljava/lang/String;)V,1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;)V,0,Ljava/io/InputStream;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;)V,1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;ZLjava/lang/String;)V,0,Ljava/io/InputStream;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;ZLjava/lang/String;)V,1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;ZLjava/lang/String;)V,2,Z,true,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;ZLjava/lang/String;)V,3,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;Z)V,0,Ljava/io/InputStream;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;Z)V,1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,<init>(Ljava/io/InputStream;Ljava/lang/String;Z)V,2,Z,true,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,getEncoding()Ljava/lang/String;,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,read([CII)I,-1,I,true,java.io.Reader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,read([CII)I,0,[C,false,java.io.Reader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,read([CII)I,1,I,true,java.io.Reader,false
org.apache.commons.io.input.XmlStreamReader,public,method,public,read([CII)I,2,I,true,java.io.Reader,false
org.apache.commons.io.input.XmlStreamReader,public,method,private,doRawStream(Lorg/apache/commons/io/input/BOMInputStream;Lorg/apache/commons/io/input/BOMInputStream;Z)Ljava/lang/String;,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReader,false
org.apache.commons.io.input.XmlStreamReader,public,method,private,doRawStream(Lorg/apache/commons/io/input/BOMInputStream;Lorg/apache/commons/io/input/BOMInputStream;Z)Ljava/lang/String;,0,Lorg/apache/commons/io/input/BOMInputStream;,false,org.apache.commons.io.input.XmlStreamReader,false
